corrida;pasajeros;tiempo_total;hipervolumen_corrida
2;617;1873.618379941055;403775.6882155837
2;633;1896.7379048424864;403775.6882155837
2;645;2189.8607087811474;403775.6882155837
2;653;2202.303208781147;403775.6882155837
3;321;732.6328615390546;403548.45170846104
3;329;736.5944367098366;403548.45170846104
3;343;772.8136033765032;403548.45170846104
3;345;773.3956136513331;403548.45170846104
3;358;789.4897897751256;403548.45170846104
3;367;802.3148991196688;403548.45170846104
3;387;826.9636491196687;403548.45170846104
3;395;855.8488574530021;403548.45170846104
3;411;866.2073991196687;403548.45170846104
3;420;907.6094824530021;403548.45170846104
3;428;927.6958680112459;403548.45170846104
3;441;950.690107453002;403548.45170846104
3;448;970.7276074530021;403548.45170846104
3;461;994.6792741196688;403548.45170846104
3;463;1026.0502430112458;403548.45170846104
3;466;1043.3380241196687;403548.45170846104
3;476;1050.0019096779126;403548.45170846104
3;482;1084.2861596779126;403548.45170846104
3;488;1111.9551180112458;403548.45170846104
3;496;1118.2169096779126;403548.45170846104
3;504;1132.0567846779124;403548.45170846104
3;512;1175.9873263445793;403548.45170846104
3;519;1210.2581596779125;403548.45170846104
3;527;1230.3896907863354;403548.45170846104
3;535;1254.0230346779124;403548.45170846104
3;539;1311.6470346779124;403548.45170846104
3;543;1366.3648254883628;403548.45170846104
3;548;1387.0145076730025;403548.45170846104
3;549;1390.5451756122984;403548.45170846104
3;572;1437.5256588216962;403548.45170846104
3;576;1507.8485076730026;403548.45170846104
3;577;1573.9499587811474;403548.45170846104
3;591;1585.3084465025645;403548.45170846104
3;595;1693.567803185334;403548.45170846104
3;599;1716.289575488363;403548.45170846104
3;611;1732.4484465025644;403548.45170846104
3;614;1783.0424504883629;403548.45170846104
3;618;1888.2051107860573;403548.45170846104
3;633;1929.4411671144805;403548.45170846104
3;638;2112.9806965025646;403548.45170846104
3;645;2193.5550715025643;403548.45170846104
3;653;2222.790863169231;403548.45170846104
4;289;716.5708791084545;397655.4582340343
4;305;749.0272697597559;397655.4582340343
4;315;769.5268956569179;397655.4582340343
4;343;802.0036033765033;397655.4582340343
4;365;808.5844364264226;397655.4582340343
4;381;843.6659407863353;397655.4582340343
4;402;860.2823530930892;397655.4582340343
4;417;914.9873530930893;397655.4582340343
4;434;962.7651074530021;397655.4582340343
4;445;970.0392741196687;397655.4582340343
4;457;970.465107453002;397655.4582340343
4;463;993.3551074530021;397655.4582340343
4;466;1043.912607453002;397655.4582340343
4;470;1070.2326074530022;397655.4582340343
4;482;1073.452607453002;397655.4582340343
4;493;1119.670107453002;397655.4582340343
4;497;1177.294107453002;397655.4582340343
4;509;1200.082607453002;397655.4582340343
4;521;1210.1085041084546;397655.4582340343
4;527;1221.9341291084545;397655.4582340343
4;534;1307.2452961190572;397655.4582340343
4;547;1357.145107453002;397655.4582340343
4;549;1407.5560417705447;397655.4582340343
4;557;1434.9777961190573;397655.4582340343
4;558;1442.3228534484253;397655.4582340343
4;564;1495.6765461190573;397655.4582340343
4;572;1498.8265461190572;397655.4582340343
4;573;1536.1164367817587;397655.4582340343
4;577;1575.321962785724;397655.4582340343
4;592;1611.2597345248544;397655.4582340343
4;593;1675.6731034484253;397655.4582340343
4;603;1722.7734587811474;397655.4582340343
4;611;1760.5734587811473;397655.4582340343
4;615;1818.1974587811474;397655.4582340343
4;618;1833.5082087811472;397655.4582340343
4;633;1896.5694587811472;397655.4582340343
4;636;2087.639089482118;397655.4582340343
4;638;2126.283208781147;397655.4582340343
4;645;2187.314458781147;397655.4582340343
4;653;2202.0144587811474;397655.4582340343
